epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,230.887,1.82633,0.73446,0.97602,0.84684,0.000221545,0.000221545,0.000221545
2,458.281,0.89433,0.8135,0.98757,0.56573,0.000432892,0.000432892,0.000432892
3,686.009,0.72456,0.84369,0.99023,0.48032,0.000633234,0.000633234,0.000633234
4,912.117,0.64006,0.84813,0.99201,0.43374,0.000617475,0.000617475,0.000617475
5,1142.11,0.54326,0.85346,0.99378,0.42066,0.000600967,0.000600967,0.000600967
6,1372.51,0.49268,0.88632,0.99378,0.34382,0.000584459,0.000584459,0.000584459
7,1599.16,0.45417,0.8881,0.99556,0.32251,0.00056795,0.00056795,0.00056795
8,1825.75,0.41411,0.89964,0.99734,0.30475,0.000551442,0.000551442,0.000551442
9,2048.05,0.38661,0.89432,0.99467,0.31929,0.000534934,0.000534934,0.000534934
10,2272.64,0.35172,0.88455,0.99645,0.32739,0.000518426,0.000518426,0.000518426
11,2492.27,0.35065,0.90142,0.99645,0.30084,0.000501917,0.000501917,0.000501917
12,2705.38,0.3284,0.90053,0.99556,0.29273,0.000485409,0.000485409,0.000485409
13,2923.67,0.29802,0.89876,0.99556,0.33912,0.000468901,0.000468901,0.000468901
14,3139.48,0.28464,0.89964,0.99645,0.33752,0.000452393,0.000452393,0.000452393
15,3355.04,0.27653,0.9032,0.99734,0.29284,0.000435884,0.000435884,0.000435884
16,3576.05,0.25436,0.90142,0.99734,0.30103,0.000419376,0.000419376,0.000419376
17,3791.37,0.24316,0.90142,0.99645,0.32435,0.000402868,0.000402868,0.000402868
18,4006.38,0.22858,0.9103,0.99467,0.30856,0.00038636,0.00038636,0.00038636
19,4225.67,0.20781,0.90497,0.99556,0.31083,0.000369851,0.000369851,0.000369851
20,4439.96,0.19954,0.90142,0.99378,0.3428,0.000353343,0.000353343,0.000353343
21,4652.74,0.20026,0.91297,0.99734,0.31574,0.000336835,0.000336835,0.000336835
22,4866.7,0.19086,0.90941,0.99734,0.2979,0.000320327,0.000320327,0.000320327
23,5079.79,0.18086,0.90497,0.99645,0.28932,0.000303818,0.000303818,0.000303818
24,5292.5,0.1681,0.91208,0.99734,0.2892,0.00028731,0.00028731,0.00028731
25,5505.29,0.16152,0.91119,0.99734,0.27625,0.000270802,0.000270802,0.000270802
26,5720.17,0.15273,0.91385,0.99734,0.2878,0.000254294,0.000254294,0.000254294
27,5934.14,0.15372,0.91385,0.99556,0.29168,0.000237785,0.000237785,0.000237785
28,6146.52,0.15404,0.91297,0.99734,0.303,0.000221277,0.000221277,0.000221277
29,6358.52,0.13939,0.91474,0.99645,0.27384,0.000204769,0.000204769,0.000204769
30,6571.57,0.13632,0.91741,0.99645,0.27095,0.000188261,0.000188261,0.000188261
31,6781.13,0.1301,0.91563,0.99645,0.28108,0.000171752,0.000171752,0.000171752
32,6985.31,0.12974,0.91297,0.99556,0.30889,0.000155244,0.000155244,0.000155244
33,7193.18,0.12289,0.92451,0.99645,0.27688,0.000138736,0.000138736,0.000138736
34,7402.65,0.12191,0.92629,0.99645,0.26656,0.000122228,0.000122228,0.000122228
35,7613.26,0.11938,0.91829,0.99734,0.27279,0.00010572,0.00010572,0.00010572
36,7823.27,0.10753,0.92362,0.99645,0.26534,8.92113e-05,8.92113e-05,8.92113e-05
37,8033.51,0.10744,0.91918,0.99645,0.27753,7.2703e-05,7.2703e-05,7.2703e-05
38,8250.1,0.0999,0.91474,0.99645,0.29211,5.61947e-05,5.61947e-05,5.61947e-05
39,8468.23,0.10062,0.91918,0.99645,0.29391,3.96865e-05,3.96865e-05,3.96865e-05
40,8683.63,0.109,0.91741,0.99645,0.28285,2.31783e-05,2.31783e-05,2.31783e-05
